msa,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url,priority_score,founded_year
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,Jackson Medical Group Inc.,jackson medical,operating_company,startup,medtech,ATLANTA,GA,30318,Other Health Care,,,1884553.0,,,,,,,,,4,2019.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Level S&S Holdco, LLC",level s s holdco,operating_company,startup,medtech,ATLANTA,GA,30326,Other Health Care,,,1750164.0,,,,,,,,,4,2018.0
atlanta,True,False,False,False,12.0,0.0,0.0,0.0,0.0,Modify Health LLC,modify health,operating_company,startup,medtech,SUWANEE,GA,30024,Other Health Care,,,1744101.0,,,,,,,,,4,2018.0
atlanta,True,False,False,False,10.0,0.0,0.0,0.0,0.0,"NFANT Labs, LLC",nfant labs,operating_company,startup,medtech,ATLANTA,GA,30308,Other Health Care,,,1594115.0,,,,,,,,,4,2015.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Orthovestments, LLC",orthovestments,operating_company,startup,medtech,MARIETTA,GA,30062,Other Health Care,,,1643182.0,,,,,,,,,4,2015.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Panda Health, Inc.",panda health,operating_company,startup,medtech,ATLANTA,GA,30339,Other Health Care,,,2050036.0,,,,,,,,,4,2020.0
atlanta,True,False,False,False,2.0,0.0,0.0,0.0,0.0,"Petriss, LLC",petriss,operating_company,startup,medtech,MARIETTA,GA,30067,Other Health Care,,,1812411.0,,,,,,,,,4,2016.0
atlanta,True,False,False,False,2.0,0.0,0.0,0.0,0.0,"Physician 360, Inc.",physician 360,operating_company,startup,medtech,ATLANTA,GA,30361,Other Health Care,,,1791687.0,,,,,,,,,4,2016.0
atlanta,True,False,False,False,2.0,0.0,0.0,0.0,0.0,Providence Dental Partners LLC,providence dental partners,operating_company,startup,medtech,ATLANTA,GA,30306,Other Health Care,,,2004245.0,,,,,,,,,4,2023.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Purity-Chapters JV, LLC",purity chapters jv,operating_company,startup,medtech,DULUTH,GA,30096,Other Health Care,,,2039568.0,,,,,,,,,4,2024.0
atlanta,True,False,False,False,2.0,0.0,0.0,0.0,0.0,"Radyus Research, Inc.",radyus research,operating_company,startup,medtech,ATLANTA,GA,30327,Other Health Care,,,1800374.0,,,,,,,,,4,2019.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Regen Osteo, Inc",regen osteo,operating_company,startup,medtech,DALLAS,GA,30132,Other Health Care,,,1903411.0,,,,,,,,,4,2021.0
atlanta,True,False,False,False,2.0,0.0,0.0,0.0,0.0,Restor Metabolix Inc,restor metabolix,operating_company,startup,medtech,Carrollton,GA,30116,Other Health Care,,,1901338.0,,,,,,,,,4,2020.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"S&S HC Holdings, LLC",s s hc,operating_company,startup,medtech,ATLANTA,GA,30326,Other Health Care,,,1750170.0,,,,,,,,,4,2018.0
